iter	Accuracy	MultiClass
0	0.6225671348	3.289436431
1	0.6644493718	2.997229151
2	0.6783690564	2.798158638
3	0.7338014289	2.590147978
4	0.7514166051	2.443956055
5	0.7745750185	2.296989312
6	0.7958856861	2.177592912
7	0.8006898251	2.071601305
8	0.8050012318	1.979220242
9	0.815348608	1.888722012
10	0.825080069	1.81078052
11	0.8341956147	1.738960209
12	0.8444198078	1.665498113
13	0.8483616654	1.609231745
14	0.8510716925	1.554256991
15	0.8543976349	1.506657372
16	0.8558758315	1.459229277
17	0.8576003942	1.417539245
18	0.8588322247	1.376690868
19	0.8681941365	1.326687789
20	0.8707809805	1.286135852
21	0.874353289	1.247822063
22	0.8766937669	1.213831221
23	0.8760778517	1.181140048
24	0.8797733432	1.14615285
25	0.8805124415	1.115800224
26	0.8812515398	1.08757034
27	0.8838383838	1.057774444
28	0.8874106923	1.029370021
29	0.889135255	1.001194424
30	0.8918452821	0.9778031672
31	0.8934466617	0.9531848125
32	0.8955407736	0.9321926028
33	0.896526238	0.9119889988
34	0.8968957871	0.8908168748
35	0.8984971668	0.8718822547
36	0.8993594481	0.8557846
37	0.8997289973	0.8375041204
38	0.9013303769	0.8194466982
39	0.9016999261	0.8026353689
40	0.9028085735	0.7854007967
41	0.9033013057	0.7715213635
42	0.9046563193	0.7565623776
43	0.9062576989	0.7429900522
44	0.906504065	0.7292021735
45	0.9073663464	0.7158706571
46	0.9079822616	0.7030803424
47	0.9082286277	0.6912916075
48	0.9083518108	0.6801772005
49	0.9090909091	0.66863187
50	0.9095836413	0.6580173337
51	0.9105691057	0.6460820998
52	0.9115545701	0.6360495105
53	0.9125400345	0.6273419059
54	0.9131559497	0.6173495686
55	0.9140182311	0.607606476
56	0.9136486819	0.6010183333
57	0.9146341463	0.5921566066
58	0.9159891599	0.5832825735
59	0.916358709	0.5750280469
60	0.9164818921	0.5681832047
61	0.9178369056	0.5604621803
62	0.91882237	0.5520994661
63	0.9190687361	0.5450045143
64	0.9200542005	0.5383969053
65	0.9216555802	0.5313566986
66	0.9220251293	0.5246685376
67	0.9232569598	0.5176543532
68	0.9238728751	0.5104091523
69	0.9241192412	0.5046149322
70	0.9242424242	0.4983898191
71	0.9248583395	0.4927716953
72	0.9258438039	0.4871063962
73	0.9254742547	0.4814265589
74	0.92609017	0.4769509554
75	0.9258438039	0.472005178
76	0.9270756344	0.4670186905
77	0.9267060852	0.4619181941
78	0.9274451835	0.4575539136
79	0.9283074649	0.4531836236
80	0.928553831	0.4491610704
81	0.9288001971	0.4459030297
82	0.9294161123	0.4424394477
83	0.9299088445	0.4384833145
84	0.9308943089	0.4347865743
85	0.931017492	0.4303983042
86	0.931017492	0.4256094548
87	0.9316334072	0.4221189201
88	0.9326188716	0.4179634529
89	0.9320029564	0.415215269
90	0.9324956886	0.4119080278
91	0.9326188716	0.4082049909
92	0.9333579699	0.4043131887
93	0.9333579699	0.4018359575
94	0.9337275191	0.3990472366
95	0.9342202513	0.3960606606
96	0.9338507021	0.3934933597
97	0.9340970682	0.3904524296
98	0.9347129835	0.3877191079
99	0.9354520818	0.3848601289
100	0.9356984479	0.3819228984
101	0.9355752648	0.3792087946
