iter	Passed	Remaining
0	527	2111332
1	1029	2058404
2	1527	2035644
3	2030	2028440
4	2519	2013313
5	3022	2012082
6	3507	2000959
7	4013	2002491
8	4517	2003404
9	5025	2005126
10	5504	1996301
11	6003	1995249
12	6498	1993152
13	6980	1987575
14	7491	1990118
15	7963	1982814
16	8458	1981830
17	8957	1981662
18	9463	1982877
19	9941	1978450
20	10437	1977625
21	10928	1976158
22	11422	1975033
23	11908	1972860
24	12423	1975258
25	12901	1971915
26	13386	1969827
27	13853	1965215
28	14351	1965118
29	14823	1961646
30	15329	1962709
31	15839	1964155
32	16301	1959596
33	16769	1956096
34	17263	1955753
35	17784	1958321
36	18319	1962148
37	18829	1963192
38	19338	1964120
39	19829	1963164
40	20365	1966510
41	20880	1967780
42	21378	1967325
43	21898	1968866
44	22395	1968327
45	22909	1969244
46	23415	1969405
47	23929	1970214
48	24435	1970332
49	24954	1971403
50	25479	1972946
51	25988	1973144
52	26495	1973151
53	27012	1973899
54	27519	1973932
55	28025	1973816
56	28522	1973024
57	29032	1973219
58	29537	1972989
59	30038	1972508
60	30533	1971691
61	31041	1971646
62	31552	1971780
63	32045	1970823
64	32537	1969799
65	33026	1968581
66	33518	1967576
67	34018	1967065
68	34525	1966938
69	35027	1966531
70	35548	1967181
71	36063	1967450
72	36586	1968147
73	37127	1969771
74	37661	1970951
75	38155	1970035
76	38652	1969264
77	39150	1968587
78	39630	1966973
79	40139	1966823
80	40673	1967907
81	41195	1968356
82	41704	1968174
83	42220	1968285
84	42767	1969818
85	43270	1969300
86	43786	1969402
87	44296	1969196
88	44831	1970084
89	45368	1971017
90	45877	1970735
91	46401	1971038
92	46913	1970865
93	47411	1970110
94	47923	1969925
95	48444	1970073
96	48955	1969833
97	49474	1969884
98	50000	1970214
99	50525	1970493
100	51034	1970150
101	51541	1969683
102	52038	1968882
103	52565	1969183
104	53100	1969793
105	53618	1969718
106	54139	1969772
107	54644	1969227
108	55174	1969563
109	55686	1969277
110	56201	1969061
111	56725	1969196
112	57236	1968823
113	57743	1968360
114	58253	1967947
115	58764	1967598
116	59278	1967331
117	59802	1967384
118	60323	1967364
119	60863	1967917
120	61385	1967887
121	61913	1968049
122	62430	1967842
123	62918	1966696
124	63429	1966300
125	63931	1965653
126	64423	1964657
127	64912	1963618
128	65401	1962542
129	65888	1961458
130	66401	1961122
131	66896	1960267
132	67389	1959349
133	67888	1958633
134	68396	1958154
135	68871	1956772
136	69364	1955880
137	69858	1955031
138	70358	1954335
139	70860	1953728
140	71362	1953092
141	71865	1952517
142	72359	1951689
143	72816	1949867
144	73306	1948950
145	73792	1947915
146	74281	1946982
147	74782	1946369
148	75266	1945301
149	75760	1944525
150	76272	1944178
151	76725	1942356
152	77241	1942145
153	77741	1941508
154	78245	1940981
155	78739	1940222
156	79235	1939503
157	79747	1939165
158	80253	1938694
159	80739	1937756
160	81234	1937013
161	81740	1936547
162	82224	1935548
163	82709	1934605
164	83212	1934061
165	83715	1933530
166	84201	1932611
167	84692	1931801
168	85205	1931494
169	85705	1930889
170	86183	1929805
171	86673	1928986
172	87164	1928207
173	87659	1927495
174	88160	1926938
175	88656	1926269
176	89120	1924902
177	89608	1924065
178	90108	1923488
179	90610	1922954
180	91097	1922096
181	91574	1921050
182	92028	1919529
183	92518	1918762
184	93020	1918224
185	93483	1916904
186	93981	1916309
187	94448	1915088
188	94934	1914269
189	95451	1914062
190	95979	1914069
191	96498	1913896
192	97011	1913584
193	97523	1913263
194	98045	1913152
195	98564	1912948
196	99073	1912562
197	99587	1912280
198	100090	1911769
199	100596	1911334
200	101111	1911061
201	101608	1910445
202	102103	1909796
203	102614	1909433
204	103121	1909009
205	103618	1908386
206	104105	1907586
207	104606	1907050
208	105088	1906173
209	105589	1905634
210	106088	1905067
211	106589	1904533
212	107084	1903891
213	107588	1903417
214	108099	1903048
215	108586	1902269
216	109083	1901676
217	109593	1901303
218	110083	1900570
219	110584	1900036
220	111091	1899611
221	111604	1899280
222	112136	1899273
223	112653	1899013
224	113168	1898717
225	113678	1898324
226	114202	1898171
227	114708	1897722
228	115214	1897265
229	115739	1897118
230	116249	1896721
231	116766	1896443
232	117288	1896244
233	117805	1895968
234	118292	1895199
235	118795	1894693
236	119330	1894691
237	119859	1894579
238	120389	1894502
239	120910	1894269
240	121432	1894052
241	121963	1893960
242	122478	1893623
243	122980	1893087
244	123470	1892375
245	123981	1891977
246	124468	1891221
247	124960	1890528
248	125480	1890269
249	125970	1889552
250	126234	1885467
251	126696	1884352
252	127191	1883736
253	127690	1883177
254	128190	1882634
255	128679	1881942
256	129143	1880868
257	129641	1880310
258	130129	1879587
259	130613	1878822
260	131103	1878147
261	131580	1877284
262	132076	1876688
263	132555	1875864
264	133050	1875255
265	133569	1875000
266	134095	1874831
267	134609	1874487
268	135120	1874111
269	135629	1873697
270	136153	1873494
271	136675	1873264
272	137189	1872906
273	137706	1872612
274	138219	1872247
275	138724	1871773
276	139221	1871196
277	139715	1870581
278	140222	1870129
279	140724	1869620
280	141215	1868975
281	141701	1868245
282	142199	1867690
283	142660	1866642
284	143154	1866032
285	143656	1865526
286	144127	1864620
287	144632	1864146
288	145104	1863261
289	145600	1862682
290	146095	1862090
291	146600	1861630
292	147089	1860958
293	147579	1860303
294	148072	1859693
295	148564	1859057
296	149048	1858341
297	149561	1857969
298	150052	1857332
299	150544	1856715
300	151041	1856151
301	151545	1855679
302	152041	1855100
303	152537	1854532
304	153034	1853977
305	153530	1853399
306	154009	1852634
307	154521	1852253
308	155047	1852034
309	155567	1851757
310	156070	1851266
311	156588	1850959
312	157099	1850559
313	157357	1847198
314	157832	1846388
315	158350	1846089
316	158860	1845688
317	159362	1845201
318	159872	1844796
319	160380	1844380
320	160896	1844043
321	161431	1843932
322	161923	1843319
323	162457	1843191
324	162970	1842820
325	163463	1842226
326	163973	1841821
327	164234	1838626
328	164710	1837853
329	165210	1837344
330	165714	1836880
331	166215	1836379
332	166701	1835719
333	167206	1835263
334	167699	1834681
335	168192	1834096
336	168678	1833443
337	169165	1832795
338	169647	1832092
339	170133	1831441
340	170636	1830965
341	171146	1830564
342	171651	1830110
343	172166	1829767
344	172695	1829567
345	173245	1829591
346	173728	1828903
347	174242	1828542
348	174806	1828708
349	175287	1828002
350	175790	1827519
351	176299	1827106
352	176819	1826803
353	177336	1826465
354	177851	1826107
355	178369	1825781
356	178915	1825743
357	179442	1825498
358	179944	1825009
359	180471	1824768
360	180995	1824490
361	181513	1824158
362	182034	1823856
363	182517	1823166
364	183047	1822948
365	183580	1822763
366	184110	1822538
367	184644	1822358
368	185172	1822116
369	185844	1823283
370	186399	1823299
371	186915	1822933
372	187421	1822456
373	187937	1822084
374	188440	1821592
375	188944	1821106
