Final_Family,Count,Percent
gimemo,1605,10.39
timer,808,5.23
revil,650,4.21
fullscreen,629,4.07
locky,610,3.95
cerber,585,3.79
zedopoo,571,3.7
pornoasset,528,3.42
fakeinstaller,498,3.22
xorist,453,2.93
wannacry,416,2.69
hexzone,414,2.68
globeimposter,406,2.63
7ev3n,342,2.21
shade,339,2.19
gandcrab,334,2.16
hmblocker,309,2.0
drolnux,276,1.79
birele,265,1.72
onlinegames,241,1.56
pornoblocker,219,1.42
sagecrypt,166,1.07
maze,162,1.05
conti,161,1.04
avaddon,157,1.02
digitala,155,1.0
pogblock,149,0.96
stop,136,0.88
crysis,115,0.74
fakepav,107,0.69
sugar,105,0.68
smser,102,0.66
lockbit,101,0.65
reveton,98,0.63
pinkblocker,98,0.63
teslacrypt,93,0.6
fswarning,76,0.49
pihun,74,0.48
bitman,65,0.42
weenloc,59,0.38
xblocker,56,0.36
cryptodef,48,0.31
crypren,46,0.3
nitro,45,0.29
purgen,45,0.29
hakbit,43,0.28
uptodown,43,0.28
lokilocker,42,0.27
cryakl,42,0.27
cryptolocker,39,0.25
crypmod,37,0.24
netwalker,36,0.23
medusalocker,35,0.23
darkside,33,0.21
hiddentear,31,0.2
ouroboros,30,0.19
digipog,28,0.18
magniber,27,0.17
ryuk,26,0.17
jaff,24,0.16
crilock,23,0.15
babuk,23,0.15
gpcode,22,0.14
pyxie,21,0.14
chameleon,21,0.14
cryfile,20,0.13
simda,20,0.13
delshad,20,0.13
vatet,20,0.13
bulz,20,0.13
msposer,20,0.13
samsam,20,0.13
ranhassan,19,0.12
mespinoza,19,0.12
blackbasta,19,0.12
ragnarlocker,19,0.12
ursu,18,0.12
purga,17,0.11
gippers,17,0.11
crypmodadv,17,0.11
snocry,15,0.1
snatch,15,0.1
avoslocker,15,0.1
chameleonunlicence,15,0.1
hive,15,0.1
fragtor,15,0.1
vbklog,15,0.1
zygug,15,0.1
wacatac,14,0.09
jigsaw,14,0.09
urausy,14,0.09
jaik,14,0.09
matrix,14,0.09
redline,14,0.09
myxah,14,0.09
ludbaruma,13,0.08
bepush,13,0.08
remoteutilities,12,0.08
spora,12,0.08
xamyh,12,0.08
cryptojoker,12,0.08
banload,11,0.07
delfile,11,0.07
crimsonrat,11,0.07
doubleeagle,11,0.07
atraps,11,0.07
winblocker,11,0.07
ryzerlo,10,0.06
hydracrypt,10,0.06
nocry,10,0.06
povlsom,10,0.06
cryptowall,10,0.06
sfile,10,0.06
torrentlocker,10,0.06
rector,10,0.06
tobfy,9,0.06
nefilim,9,0.06
scatter,9,0.06
balaclava,9,0.06
ransomexx,8,0.05
losya,8,0.05
virut,8,0.05
ranzylocker,8,0.05
kerlofost,8,0.05
crowti,8,0.05
makop,7,0.05
petya,7,0.05
cambot,7,0.05
jalapeno,7,0.05
wombot,7,0.05
boaxxe,7,0.05
pornocodec,7,0.05
ctblocker,7,0.05
johnnie,7,0.05
agenttesla,7,0.05
regrun,7,0.05
lorenz,7,0.05
doina,7,0.05
hiddentears,7,0.05
marsilia,7,0.05
vundo,7,0.05
mardom,7,0.05
gamarue,7,0.05
netshrink,6,0.04
imblocker,6,0.04
tedy,6,0.04
babar,6,0.04
wannacash,6,0.04
cuba,6,0.04
cobralocker,6,0.04
ursnif,6,0.04
instructions,6,0.04
fugrafa,6,0.04
winspy,6,0.04
hancitor,6,0.04
bluesky,6,0.04
cdmip,6,0.04
bodegun,6,0.04
cryrar,6,0.04
hellokitty,6,0.04
dorkbot,6,0.04
satana,6,0.04
stupid,5,0.03
axlocker,5,0.03
survey,5,0.03
bancos,5,0.03
gocrypt,5,0.03
dircrypt,5,0.03
blackdeath,5,0.03
neshta,5,0.03
buzus,5,0.03
ryukcrypt,5,0.03
vortex,5,0.03
gazon,5,0.03
ramnit,5,0.03
rakhni,5,0.03
renamefiles,5,0.03
krotten,5,0.03
pavica,5,0.03
jacard,5,0.03
pantera,5,0.03
dukescamlock,5,0.03
cring,5,0.03
diop,5,0.03
onyxlocker,5,0.03
mbrlock,5,0.03
wlock,5,0.03
dearcry,5,0.03
genericfca,4,0.03
wintionalitychecker,4,0.03
suncrypt,4,0.03
wisiswis,4,0.03
ircbrute,4,0.03
mikey,4,0.03
wormlocker,4,0.03
spnr,4,0.03
pcmega,4,0.03
tofsee,4,0.03
manbat,4,0.03
variadic,4,0.03
urelas,4,0.03
cryptxxx,4,0.03
glod,4,0.03
wcryg,4,0.03
winwebsec,4,0.03
yobdam,4,0.03
pylocky,4,0.03
suspfile,4,0.03
delflash,4,0.03
convagent,4,0.03
shipup,4,0.03
phobos,4,0.03
vbcheman,4,0.03
turian,4,0.03
emotet,4,0.03
dmalocker,4,0.03
swisyn,4,0.03
tarkcrypt,4,0.03
skeeyah,4,0.03
bogoj,4,0.03
ranion,4,0.03
agentb,4,0.03
stampado,3,0.02
mofksys,3,0.02
infinitylock,3,0.02
trumper,3,0.02
